Description Size Speed Range Firepower Cargo
350r 1 9 2 3 0
Avenger 2 5 4 3 2
Carrack 6 2 10 4 6
Constellation 4 5 7 3 4
Hawk 1 3 2 4 0
Hornet 2 5 3 4 1
Hurricane 2 5 3 5 0
Idris 8 2 7 10 6
m50 1 10 2 2 0
Merchantman 7 3 5 6 8
Orion 10 1 6 2 9
Sabre 2 6 5 3 1
Vanguard 3 4 5 6 1
Titan 9 0 4 2 3
Pegasus 2 5 4 6 7
Zeus 2 1 10 4 6
Robin 4 0 7 3 10
Poseidon 1 6 5 4 0
Wasp 2 5 2 4 1
Hades 10 2 3 9 1
Timebomb 9 4 6 3 2
T64 1 10 3 3 2
Sec39 8 3 4 0 9
Ness 10 5 6 4 2
Katana 3 4 7 2 6
Controller 1 4 5 5 6
Ares 2 9 5 1 0
Neptune 1 2 3 9 10
Artemis 3 4 7 8 5
Star 6 7 2 5 3
Gallaxy 1 3 5 8 7
MilkyWay 6 7 4 0 5
Rovver 6 7 4 1 5
BlackHole 4 5 6 10 2
Pirate 1 3 5 2 9
Convenience 3 4 1 0 2
Stunner 10 6 7 5 2
LifeForce 7 5 1 6 0
Enforcer 3 4 9 2 1
Blue 5 6 8 7 0
